"Freq [GHz]","re(S(1 2)) []","im(S(1 2)) []"
7.9853,-0.941609743054474,-0.190440176581177
7.9854,-0.941647595544954,-0.190191802057704
7.9855,-0.94168536256208,-0.1899432175772
7.9856,-0.941723043798883,-0.18969442172979
7.9857,-0.941760638945272,-0.189445413092438
7.9858,-0.941798147687992,-0.189196190228795
7.9859,-0.941835569710584,-0.188946751689038
7.986,-0.941872904693348,-0.188697096009722
7.9861,-0.941910152313294,-0.188447221713609
7.9862,-0.941947312244108,-0.18819712730952
7.9863,-0.941984384156104,-0.18794681129216
7.9864,-0.942021367716184,-0.187696272141955
7.9865,-0.942058262587794,-0.187445508324889
7.9866,-0.942095068430875,-0.187194518292329
7.9867,-0.942131784901825,-0.186943300480842
7.9868,-0.942168411653448,-0.186691853312039
7.9869,-0.942204948334907,-0.18644017519238
7.987,-0.942241394591681,-0.186188264513004
7.9871,-0.942277750065511,-0.185936119649538
7.9872,-0.942314014394357,-0.185683738961915
7.9873,-0.942350187212344,-0.185431120794184
7.9874,-0.942386268149713,-0.185178263474316
7.9875,-0.942422256832772,-0.184925165314018
7.9876,-0.942458152883841,-0.184671824608524
7.9877,-0.942493955921199,-0.184418239636405
7.9878,-0.942529665559034,-0.184164408659363
7.9879,-0.942565281407383,-0.183910329922018
7.988,-0.942600803072082,-0.183656001651716
7.9881,-0.942636230154707,-0.183401422058297
7.9882,-0.942671562252516,-0.183146589333895
7.9883,-0.942706798958395,-0.182891501652712
7.9884,-0.942741939860793,-0.182636157170797
7.9885,-0.942776984543668,-0.182380554025827
7.9886,-0.942811932586419,-0.182124690336875
7.9887,-0.942846783563835,-0.181868564204173
7.9888,-0.942881537046019,-0.181612173708888
7.9889,-0.942916192598334,-0.181355516912873
7.989,-0.942950749781334,-0.181098591858433
7.9891,-0.942985208150698,-0.180841396568075
7.9892,-0.943019567257164,-0.180583929044257
7.9893,-0.943053826646459,-0.180326187269138
7.9894,-0.943087985859231,-0.180068169204325
7.9895,-0.94312204443098,-0.179809872790599
7.9896,-0.943156001891982,-0.179551295947663
7.9897,-0.94318985776722,-0.179292436573864
7.9898,-0.943223611576308,-0.17903329254593
7.9899,-0.943257262833418,-0.178773861718679
7.99,-0.943290811047198,-0.178514141924745
7.9901,-0.943324255720702,-0.178254130974298
7.9902,-0.943357596351303,-0.177993826654741
7.9903,-0.943390832430618,-0.177733226730421
7.9904,-0.943423963444424,-0.177472328942334
7.9905,-0.943456988872574,-0.17721113100781
7.9906,-0.943489908188914,-0.176949630620216
7.9907,-0.943522720861196,-0.17668782544863
7.9908,-0.943555426350989,-0.176425713137534
7.9909,-0.943588024113593,-0.17616329130648
7.991,-0.943620513597946,-0.175900557549767
7.9911,-0.943652894246532,-0.175637509436106
7.9912,-0.943685165495287,-0.175374144508278
7.9913,-0.943717326773505,-0.175110460282793
7.9914,-0.94374937750374,-0.174846454249536
7.9915,-0.943781317101706,-0.174582123871408
7.9916,-0.943813144976179,-0.174317466583973
7.9917,-0.943844860528892,-0.174052479795086
7.9918,-0.943876463154432,-0.173787160884515
7.9919,-0.943907952240136,-0.173521507203569
7.992,-0.943939327165978,-0.173255516074707
7.9921,-0.943970587304467,-0.172989184791146
7.9922,-0.944001732020526,-0.172722510616465
7.9923,-0.944032760671387,-0.172455490784199
7.9924,-0.944063672606469,-0.172188122497425
7.9925,-0.944094467167263,-0.171920402928348
7.9926,-0.944125143687214,-0.171652329217871
7.9927,-0.944155701491593,-0.171383898475163
7.9928,-0.944186139897379,-0.171115107777226
7.9929,-0.944216458213129,-0.170845954168436
7.993,-0.944246655738847,-0.170576434660103
7.9931,-0.94427673176586,-0.17030654622999
7.9932,-0.944306685576677,-0.170036285821865
7.9933,-0.944336516444856,-0.169765650345007
7.9934,-0.944366223634867,-0.169494636673729
7.9935,-0.944395806401946,-0.169223241646876
7.9936,-0.944425263991957,-0.168951462067331
7.9937,-0.944454595641241,-0.1686792947015
7.9938,-0.944483800576469,-0.168406736278789
7.9939,-0.94451287801449,-0.168133783491083
7.994,-0.944541827162175,-0.167860432992199
7.9941,-0.944570647216259,-0.167586681397347
7.9942,-0.944599337363184,-0.167312525282571
7.9943,-0.944627896778928,-0.167037961184181
7.9944,-0.944656324628849,-0.166762985598176
7.9945,-0.9446846200675,-0.166487594979663
7.9946,-0.944712782238472,-0.16621178574226
7.9947,-0.944740810274203,-0.165935554257479
7.9948,-0.94476870329581,-0.165658896854126
7.9949,-0.944796460412894,-0.165381809817659
7.995,-0.944824080723364,-0.165104289389551
7.9951,-0.944851563313237,-0.164826331766648
7.9952,-0.944878907256451,-0.164547933100495
7.9953,-0.944906111614661,-0.164269089496666
7.9954,-0.94493317543704,-0.163989797014084
7.9955,-0.944960097760072,-0.163710051664311
7.9956,-0.944986877607343,-0.163429849410847
7.9957,-0.945013513989324,-0.163149186168402
7.9958,-0.945040005903157,-0.162868057802156
7.9959,-0.945066352332426,-0.162586460127015
7.996,-0.945092552246937,-0.162304388906842
7.9961,-0.945118604602478,-0.162021839853679
7.9962,-0.945144508340589,-0.161738808626961
7.9963,-0.945170262388319,-0.161455290832694
7.9964,-0.945195865657978,-0.16117128202265
7.9965,-0.945221317046885,-0.160886777693526
7.9966,-0.945246615437117,-0.160601773286082
7.9967,-0.945271759695243,-0.160316264184282
7.9968,-0.945296748672057,-0.160030245714405
7.9969,-0.945321581202308,-0.159743713144149
7.997,-0.945346256104421,-0.159456661681703
7.9971,-0.945370772180212,-0.159169086474821
7.9972,-0.945395128214601,-0.158880982609865
7.9973,-0.945419322975314,-0.158592345110832
7.9974,-0.945443355212581,-0.158303168938368
7.9975,-0.945467223658831,-0.158013448988757
7.9976,-0.945490927028374,-0.157723180092892
7.9977,-0.945514464017082,-0.157432357015233
7.9978,-0.945537833302057,-0.157140974452732
7.9979,-0.945561033541303,-0.156849027033743
7.998,-0.945584063373378,-0.156556509316922
7.9981,-0.945606921417044,-0.15626341579009
7.9982,-0.945629606270916,-0.15596974086908
7.9983,-0.945652116513092,-0.155675478896558
7.9984,-0.94567445070078,-0.15538062414083
7.9985,-0.945696607369924,-0.155085170794613
7.9986,-0.945718585034805,-0.154789112973797
7.9987,-0.945740382187653,-0.154492444716162
7.9988,-0.945761997298236,-0.154195159980089
7.9989,-0.945783428813445,-0.153897252643235
7.999,-0.945804675156873,-0.153598716501183
7.9991,-0.945825734728378,-0.153299545266065
7.9992,-0.945846605903639,-0.152999732565162
7.9993,-0.945867287033708,-0.152699271939466
7.9994,-0.945887776444543,-0.152398156842222
7.9995,-0.945908072436535,-0.152096380637429
7.9996,-0.945928173284024,-0.151793936598329
7.9997,-0.945948077234804,-0.151490817905846
7.9998,-0.945967782509615,-0.151187017647006
7.9999,-0.945987287301628,-0.150882528813313
8,-0.946006589775914,-0.1505773442991
8.0001,-0.946025688068899,-0.150271456899844
8.0002,-0.946044580287815,-0.149964859310447
8.0003,-0.946063264510127,-0.149657544123474
8.0004,-0.946081738782959,-0.14934950382735
8.0005,-0.946100001122494,-0.149040730804562
8.0006,-0.94611804951337,-0.148731217329752
8.0007,-0.946135881908057,-0.148420955567812
8.0008,-0.946153496226219,-0.148109937571953
8.0009,-0.946170890354067,-0.147798155281694
8.001,-0.946188062143683,-0.147485600520842
8.0011,-0.946205009412349,-0.147172264995378
8.0012,-0.946221729941836,-0.146858140291374
8.0013,-0.946238221477696,-0.146543217872814
8.0014,-0.946254481728524,-0.146227489079352
8.0015,-0.946270508365212,-0.145910945124064
8.0016,-0.946286299020172,-0.145593577091128
8.0017,-0.946301851286558,-0.145275375933463
8.0018,-0.946317162717449,-0.144956332470304
8.0019,-0.94633223082503,-0.14463643738472
8.002,-0.94634705307974,-0.144315681221097
8.0021,-0.946361626909405,-0.143994054382574
8.0022,-0.946375949698347,-0.143671547128349
8.0023,-0.946390018786477,-0.143348149571021
8.0024,-0.946403831468351,-0.14302385167381
8.0025,-0.946417384992223,-0.142698643247738
8.0026,-0.946430676559052,-0.142372513948721
8.0027,-0.946443703321502,-0.142045453274638
8.0028,-0.946456462382906,-0.141717450562302
8.0029,-0.94646895079621,-0.141388494984354
8.003,-0.946481165562878,-0.141058575546097
8.0031,-0.946493103631789,-0.140727681082279
8.0032,-0.946504761898089,-0.140395800253758
8.0033,-0.946516137202014,-0.140062921544125
