"extra_lon [mm]","Sub_xoff [mm]","Freq [GHz]","re(S(1 2)) []","im(S(1 2)) []"
0,1,7.70676691729323,-0.69397892498335,-0.612353792008881
0,1,7.70977443609023,-0.698335758212134,-0.607312832215096
0,1,7.71278195488722,-0.70264820184077,-0.602256601542815
0,1,7.71578947368421,-0.706916670355028,-0.597184663451239
0,1,7.7187969924812,-0.71114153129491,-0.592096647617989
0,1,7.7218045112782,-0.715323109525011,-0.586992246380482
0,1,7.72481203007519,-0.719461694088668,-0.581871202684991
0,1,7.72781954887218,-0.723557541078685,-0.576733308073982
0,1,7.73082706766917,-0.727610877811945,-0.571578396630525
0,1,7.73383458646617,-0.73162190550856,-0.566406342363972
0,1,7.73684210526316,-0.735590803812991,-0.561217049600325
0,1,7.73984962406015,-0.73951773097801,-0.556010457648632
0,1,7.74285714285714,-0.743402828210893,-0.550786530124995
0,1,7.74586466165414,-0.747246219919384,-0.545545258484475
0,1,7.74887218045113,-0.751048016702791,-0.540286654926519
0,1,7.75187969924812,-0.75480831611906,-0.535010753149779
0,1,7.75488721804511,-0.758527204436079,-0.529717604894625
0,1,7.7578947368421,-0.762204757328707,-0.524407280459589
0,1,7.7609022556391,-0.765841041826025,-0.519079863409601
0,1,7.76390977443609,-0.769436116631245,-0.513735452090337
0,1,7.76691729323308,-0.77299003282614,-0.508374159081662
0,1,7.76992481203007,-0.776502835186277,-0.502996107674062
0,1,7.77293233082707,-0.779974562756295,-0.497601431542614
0,1,7.77593984962406,-0.783405248948188,-0.492190276448639
0,1,7.77894736842105,-0.786794923244737,-0.48676279324586
0,1,7.78195488721805,-0.790143610309738,-0.481319145330759
0,1,7.78496240601504,-0.793451331480108,-0.475859501613558
0,1,7.78796992481203,-0.796718104907866,-0.470384038007931
0,1,7.79097744360902,-0.79994394574847,-0.464892937665202
0,1,7.79398496240602,-0.803128866795424,-0.459386388903135
0,1,7.79699248120301,-0.806272878480724,-0.453864586770496
0,1,7.8,-0.809375989468894,-0.448327730693881
0,1,7.80300751879699,-0.812438206792369,-0.442776024404811
0,1,7.80601503759398,-0.815459536092669,-0.437209676518572
0,1,7.80902255639098,-0.818439981696384,-0.431628900575835
0,1,7.81203007518797,-0.821379547165655,-0.426033912355625
0,1,7.81503759398496,-0.824278235414998,-0.420424929220368
0,1,7.81804511278196,-0.827136048238688,-0.414802177330741
0,1,7.82105263157895,-0.82995298745722,-0.409165880334594
0,1,7.82406015037594,-0.832729054249701,-0.403516268344889
0,1,7.82706766917293,-0.835464249868977,-0.39785357103832
0,1,7.83007518796992,-0.838158575326968,-0.39217802271658
0,1,7.83308270676692,-0.8408120318146,-0.386489857696021
0,1,7.83609022556391,-0.843424620526411,-0.380789315057828
0,1,7.8390977443609,-0.84599634304942,-0.375076632582038
0,1,7.84210526315789,-0.848527201260807,-0.369352050180124
0,1,7.84511278195489,-0.851017197323433,-0.363615813819703
0,1,7.84812030075188,-0.853466334089044,-0.357868163776096
0,1,7.85112781954887,-0.855874614817422,-0.352109346334922
0,1,7.85413533834586,-0.858242043427627,-0.34633960820223
0,1,7.85714285714286,-0.860568624518876,-0.34055919683365
0,1,7.86015037593985,-0.862854363425657,-0.334768360936821
0,1,7.86315789473684,-0.865099266234009,-0.32896734766338
0,1,7.86616541353383,-0.867303339881313,-0.323156409186885
0,1,7.86917293233083,-0.869466592146714,-0.317335795480199
0,1,7.87218045112782,-0.871589031717585,-0.311505757756404
0,1,7.87518796992481,-0.873670668255959,-0.305666548817876
0,1,7.8781954887218,-0.875711512332616,-0.29981842012933
0,1,7.8812030075188,-0.87771157558073,-0.29396162560388
0,1,7.88421052631579,-0.879670870615182,-0.28809641786831
0,1,7.88721804511278,-0.881589411168844,-0.282223051095372
0,1,7.89022556390977,-0.88346721198686,-0.276341778849569
0,1,7.89323308270677,-0.885304288956511,-0.270452855369836
0,1,7.89624060150376,-0.887100659115491,-0.264556535569642
0,1,7.89924812030075,-0.888856340680654,-0.258653074106716
0,1,7.90225563909774,-0.890571352708071,-0.252742723513132
0,1,7.90526315789474,-0.892245715914758,-0.246825740681267
0,1,7.90827067669173,-0.893879451912159,-0.24090237956858
0,1,7.91127819548872,-0.895472583585936,-0.234972894936194
0,1,7.91428571428571,-0.897025135011906,-0.229037541213356
