"high_res [mm]","Freq [GHz]","re(S(2 1)) []","im(S(2 1)) []"
3,6.585,0.246728935156179,0.709040418616824
3,6.59625,0.297201935148885,0.71504941219415
3,6.6075,0.346650133084601,0.713792992826986
3,6.61875,0.3945295991266,0.706666603171335
3,6.63,0.440536263823181,0.694746258077293
3,6.64125,0.484515843873534,0.678847886410167
3,6.6525,0.526392227839846,0.659590680843845
3,6.66375,0.566125105484781,0.63745430225233
3,6.675,0.603689662022418,0.612823355125654
3,6.68625,0.639069093003524,0.586018518890958
3,6.6975,0.672253193036359,0.557316724284228
3,6.70875,0.703239074776449,0.526963475908204
3,6.72,0.732032082760226,0.495180056223045
3,6.73125,0.758646160483568,0.462167656727691
3,6.7425,0.783103544895304,0.428109815591842
3,6.75375,0.805433927508692,0.39317401575867
3,6.765,0.82567329650105,0.357512927406355
3,6.77625,0.843862659114924,0.321265538562808
3,6.7875,0.8600467946588,0.284558273708871
3,6.79875,0.87427313429193,0.247506121655466
3,6.81,0.886590817382384,0.21021375691339
3,6.82125,0.897049939642312,0.172776626143611
3,6.8325,0.905700985255454,0.135281971722005
3,6.84375,0.912594421821514,0.0978097708664779
3,6.855,0.917780430697919,0.0604335770029231
3,6.86625,0.921308743954478,0.0232212578798149
3,6.8775,0.923228560828721,-0.0137643686248329
3,6.88875,0.92358851990789,-0.0504649953275612
3,6.9,0.92243670731085,-0.0868263744139076
3,6.91125,0.919820685282016,-0.122797943462348
3,6.9225,0.915787529464109,-0.158332517680248
3,6.93375,0.910383866497001,-0.193386037369706
3,6.945,0.903655906412581,-0.22791736033311
3,6.95625,0.895649466560948,-0.261888089949944
3,6.9675,0.886409985547343,-0.295262430848299
3,6.97875,0.875982526946062,-0.328007065339367
3,6.99,0.864411773455423,-0.360091044998599
3,7.00125,0.851742012739521,-0.391485692910514
3,7.0125,0.838017116531608,-0.422164513111908
3,7.02375,0.823280514711275,-0.452103104655694
3,7.035,0.80757516606237,-0.481279078469625
3,7.04625,0.790943527313357,-0.509671975804561
3,7.0575,0.773427521891233,-0.53726318756419
3,7.06875,0.755068509611081,-0.564035874195049
3,7.08,0.735907258296855,-0.589974886103743
3,7.09125,0.715983918101389,-0.615066684774213
3,7.1025,0.695337999075336,-0.639299264892349
3,7.11375,0.674008352334547,-0.662662077863624
3,7.125,0.652033154997121,-0.685145957141438
3,7.13625,0.629449898908334,-0.706743045781594
3,7.1475,0.606295383044304,-0.727446726609046
3,7.15875,0.582605709383214,-0.747251555336523
3,7.17,0.558416281954961,-0.766153196915346
3,7.18125,0.533761808724117,-0.784148365333242
3,7.1925,0.508676305924798,-0.801234767006152
3,7.20375,0.483193104447196,-0.81741104784348
3,7.215,0.457344857870969,-0.832676744002787
3,7.22625,0.431163551748694,-0.84703223629085
3,7.2375,0.404680513760447,-0.860478708115264
3,7.24875,0.377926424385712,-0.873018106845635
3,7.26,0.350931327770351,-0.88465310840449
3,7.27125,0.323724642501423,-0.895387084877437
3,7.2825,0.296335172040382,-0.905224074908152
3,7.29375,0.268791114604176,-0.914168756626792
3,7.305,0.241120072322909,-0.922226422849706
3,7.31625,0.213349059540894,-0.929402958283629
3,7.3275,0.185504510164994,-0.935704818467698
3,7.33875,0.157612283998616,-0.941139010191779
3,7.35,0.129697672032331,-0.94571307313829
3,7.36125,0.101785400691232,-0.949435062507138
3,7.3725,0.073899635065707,-0.95231353239834
3,7.38375,0.046063981175608,-0.954357519744099
3,7.395,0.0183014873376125,-0.955576528601161
3,7.40625,-0.00936535527733545,-0.955980514634278
3,7.4175,-0.0369146127960722,-0.95557986964262
3,7.42875,-0.0643249093936509,-0.954385406002221
3,7.44,-0.0915754285233438,-0.952408340918853
3,7.45125,-0.118645914502127,-0.949660280406741
3,7.4625,-0.145516674325412,-0.946153202928936
3,7.47375,-0.172168579584459,-0.941899442654797
3,7.485,-0.198583068361756,-0.936911672308668
3,7.49625,-0.224742146983767,-0.931202885601215
3,7.5075,-0.250628391515908,-0.924786379251011
3,7.51875,-0.276224948891466,-0.917675734618732
3,7.53,-0.30151553757465,-0.909884798989415
3,7.54125,-0.326484447667124,-0.901427666550003
3,7.5525,-0.351116540377267,-0.892318659119484
3,7.56375,-0.375397246782429,-0.882572306697433
3,7.575,-0.399312565825205,-0.872203327903831
3,7.58625,-0.422849061496265,-0.861226610388479
3,7.5975,-0.445993859167682,-0.849657191292363
3,7.60875,-0.468734641052014,-0.837510237845953
3,7.62,-0.491059640773507,-0.824801028190758
3,7.63125,-0.512957637048745,-0.811544932510454
3,7.6425,-0.534417946484271,-0.797757394556987
3,7.65375,-0.555430415508752,-0.78345391365475
3,7.665,-0.575985411466403,-0.768650027263037
3,7.67625,-0.596073812907059,-0.753361294173039
3,7.6875,-0.615686999116211,-0.737603278410952
3,7.69875,-0.634816838935371,-0.721391533913651
3,7.71,-0.653455678929666,-0.704741590037443
3,7.72125,-0.67159633096509,-0.687668937954309
3,7.7325,-0.689232059262629,-0.670189017983456
3,7.74375,-0.706356567000662,-0.652317207899161
3,7.755,-0.722963982540226,-0.634068812248908
3,7.76625,-0.739048845350272,-0.615459052708875
3,7.7775,-0.754606091712008,-0.596503059496516
3,7.78875,-0.769631040282467,-0.577215863853161
3,7.8,-0.784119377598002,-0.55761239160245
3,7.81125,-0.798067143598389,-0.537707457783626
3,7.8225,-0.811470717251504,-0.517515762352165
3,7.83375,-0.82432680235744,-0.497051886933738
3,7.845,-0.836632413609304,-0.476330292611324
3,7.85625,-0.848384862985854,-0.455365318719478
3,7.8675,-0.859581746548694,-0.434171182614108
3,7.87875,-0.870220931713969,-0.412761980380807
3,7.89,-0.880300545065377,-0.391151688439807
3,7.90125,-0.889818960771867,-0.369354166000949
3,7.9125,-0.898774789669877,-0.347383158317669
3,7.92375,-0.907166869065951,-0.325252300684899
3,7.935,-0.914994253311633,-0.302975123122162
3,7.94625,-0.922256205198293,-0.280565055679471
3,7.9575,-0.928952188215085,-0.258035434300634
3,7.96875,-0.93508185970882,-0.235399507175644
3,7.98,-0.94064506497985,-0.21267044151115
3,7.99125,-0.945641832343297,-0.189861330645763
3,8.0025,-0.950072369180127,-0.166985201434786
3,8.01375,-0.953937058997624,-0.144055021827225
3,8.025,-0.957236459513672,-0.121083708556316
3,8.03625,-0.959971301774249,-0.0980841348634361
3,8.0475,-0.962142490308152,-0.0750691381744582
3,8.05875,-0.963751104317683,-0.0520515276464151
3,8.07,-0.964798399898614,-0.0290440915023165
3,8.08125,-0.965285813277164,-0.00605960407122329
3,8.0925,-0.965214965046125,0.0168891675489097
3,8.10375,-0.964587665376526,0.039789457287965
3,8.115,-0.963405920175481,0.0626284944415263
3,8.12625,-0.961671938154818,0.0853934986305683
3,8.1375,-0.959388138769399,0.10807167546215
3,8.14875,-0.956557160977671,0.130650212968713
3,8.16,-0.953181872771216,0.153116278901189
3,8.17125,-0.949265381413825,0.175457018948951
3,8.1825,-0.944811044324508,0.197659555956052
3,8.19375,-0.9398224805329,0.219710990200302
3,8.205,-0.934303582629434,0.241598400797115
3,8.21625,-0.928258529126738,0.263308848286005
3,8.2275,-0.92169179714304,0.284829378452204
3,8.23875,-0.914608175312731,0.306147027430396
3,8.25,-0.907012776823937,0.3272488281312
3,8.26125,-0.899267619215733,0.347995586894614
3,8.2725,-0.89106638383858,0.368517183423383
3,8.28375,-0.882415916427093,0.388804423145814
3,8.295,-0.87332322156559,0.408848312371055
3,8.30625,-0.863795457191444,0.428640059839647
3,8.3175,-0.853839929145722,0.448171078153212
3,8.32875,-0.843464085771756,0.467432985087066
3,8.34,-0.832675512562034,0.486417604789539
3,8.35125,-0.8214819268538,0.505116968871473
3,8.3625,-0.809891172573521,0.523523317389398
3,8.37375,-0.797911215030377,0.541629099725544
3,8.385,-0.785550135758773,0.559426975367821
